split,instance_id,caption,image_path,mapped_class,class_label,attributes,color,material,condition,size
train,Team14_BlackWatch_I,new small black plastic watch upside down,pooled_images/team14_wrist_watch (24).jpg,wristwatch,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,black,plastic,new,small
val,Team14_SilverWatch_G,new small silver leather watch from side,pooled_images/team14_wrist_watch (25).jpg,wristwatch,clothing_wrist_watch,color:silver;material:unknown;condition:new;size:small,silver,unknown,new,small
train,Team14_BlackWatch_J,new small black leather watch from front,pooled_images/team14_wrist_watch (26).jpg,wristwatch,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,black,unknown,new,small
train,Team14_YellowWatch_G,new small yellow metal watch from top,pooled_images/team14_wrist_watch (27).jpg,wristwatch,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,yellow,metal,new,small
train,Team14_YellowWatch_H,new small yellow metal watch from front,pooled_images/team14_wrist_watch (28).jpg,wristwatch,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,yellow,metal,new,small
train,Team14_BlackWatch_K,new small black leather watch from front,pooled_images/team14_wrist_watch (29).jpg,wristwatch,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,black,unknown,new,small
train,Team14_BlackWatch_L,new small black analog wrist watch,pooled_images/team14_wrist_watch (30).jpg,wristwatch,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,black,unknown,new,small
train,Team14_BlackWatch_M,new small black metal analog watch,pooled_images/team14_wrist_watch (31).jpg,wristwatch,clothing_wrist_watch,color:black;material:metal;condition:new;size:small,black,metal,new,small
train,Team14_SilverWatch_H,new small silver metal watch from side,pooled_images/team14_wrist_watch (32).jpg,wristwatch,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,silver,metal,new,small
val,Team14_BlackWatch_N,new small black metal watch from back,pooled_images/team14_wrist_watch (33).jpg,wristwatch,clothing_wrist_watch,color:black;material:metal;condition:new;size:small,black,metal,new,small
train,Team14_SilverWatch_J,new small silver metal watch analog,pooled_images/team14_wrist_watch (35).jpg,wristwatch,clothing_wrist_watch,color:white;material:metal;condition:new;size:small,white,metal,new,small
train,Team14_BlackWatch_O,new small black metal watch analog,pooled_images/team14_wrist_watch (36).jpg,wristwatch,clothing_wrist_watch,color:black;material:metal;condition:new;size:small,black,metal,new,small
val,Team14_SilverWatch_K,new small silver metal watch flipped over,pooled_images/team14_wrist_watch (37).jpg,wristwatch,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,silver,metal,new,small
train,Team14_BlueWatch_B,new small blue leather watch lying straight,pooled_images/team14_wrist_watch (39).jpg,wristwatch,clothing_wrist_watch,color:blue;material:unknown;condition:new;size:small,blue,unknown,new,small
train,Team14_BlueWatch_C,new small blue leather watch from front,pooled_images/team14_wrist_watch (40).jpg,wristwatch,clothing_wrist_watch,color:blue;material:unknown;condition:new;size:small,blue,unknown,new,small
train,Team14_BlackWatch_P,new small black leather watch from top,pooled_images/team14_wrist_watch (41).jpg,wristwatch,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,black,unknown,new,small
train,Team14_SilverWatch_L,new small metal silver watch from top,pooled_images/team14_wrist_watch (42).jpg,wristwatch,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,silver,metal,new,small
train,Team14_BlackWatch_R,new small black leather watch from side,pooled_images/team14_wrist_watch (44).jpg,wristwatch,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,black,unknown,new,small
val,Team14_BlackWatch_S,new small black leather smart watch,pooled_images/team14_wrist_watch (45).jpg,wristwatch,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,black,unknown,new,small
train,Team14_YellowWatch_I,new small yellow metal watch from side,pooled_images/team14_wrist_watch (46).jpg,wristwatch,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,yellow,metal,new,small
train,Team14_OrangeWatch_A,new small orange rubber smart watch,pooled_images/team14_wrist_watch (47).jpg,wristwatch,clothing_wrist_watch,color:unknown;material:rubber;condition:new;size:small,unknown,rubber,new,small
train,Team14_OrangeWatch_B,new small orange rubber smart watch sideways,pooled_images/team14_wrist_watch (48).jpg,wristwatch,clothing_wrist_watch,color:unknown;material:rubber;condition:new;size:small,unknown,rubber,new,small
train,Team14_OrangeWatch_C,new small orange rubber smart watch from side,pooled_images/team14_wrist_watch (49).jpg,wristwatch,clothing_wrist_watch,color:unknown;material:rubber;condition:new;size:small,unknown,rubber,new,small
train,Team14_BlackWatch_T,new small black plastic watch from back,pooled_images/team14_wrist_watch (50).jpg,wristwatch,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,black,plastic,new,small
train,Team14_YellowWatch_J,new small yellow metal watch from side,pooled_images/team14_wrist_watch (51).jpg,wristwatch,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,yellow,metal,new,small
val,Team14_OrangeWatch_D,new small orange rubber smart watch from top,pooled_images/team14_wrist_watch (52).jpg,wristwatch,clothing_wrist_watch,color:unknown;material:rubber;condition:new;size:small,unknown,rubber,new,small
train,Team14_OrangeWatch_E,new small orange rubber smart watch placed diagonally,pooled_images/team14_wrist_watch (53).jpg,wristwatch,clothing_wrist_watch,color:unknown;material:rubber;condition:new;size:small,unknown,rubber,new,small
train,Team14_BlackWatch_U,new small black plastic smart watch from top,pooled_images/team14_wrist_watch (55).jpg,wristwatch,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,black,plastic,new,small
train,Team14_SIlverWatch_M,new small silver metal analog watch face,pooled_images/team14_wrist_watch (56).jpg,wristwatch,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,silver,metal,new,small
train,Team14_YellowWatch_L,new small yellow leather watch from side,pooled_images/team14_wrist_watch (57).jpg,wristwatch,clothing_wrist_watch,color:yellow;material:unknown;condition:new;size:small,yellow,unknown,new,small
train,Team14_BlackWatch_V,new small black plastic smart watch face,pooled_images/team14_wrist_watch (58).jpg,wristwatch,clothing_wrist_watch,color:unknown;material:plastic;condition:new;size:small,unknown,plastic,new,small
train,Team14_BlackWatch_W,new small black metal watch flipped over,pooled_images/team14_wrist_watch (59).jpg,wristwatch,clothing_wrist_watch,color:black;material:metal;condition:new;size:small,black,metal,new,small
train,Team14_BlueWatch_D,new small blue rubber analog watch from front,pooled_images/team14_wrist_watch (60).jpg,wristwatch,clothing_wrist_watch,color:blue;material:rubber;condition:new;size:small,blue,rubber,new,small
train,Team14_BlueWatch_E,new small blue analog rubber watch sideways,pooled_images/team14_wrist_watch (61).jpg,wristwatch,clothing_wrist_watch,color:blue;material:rubber;condition:new;size:small,blue,rubber,new,small
val,Team14_BlueWatch_F,new small blue leather analog watch,pooled_images/team14_wrist_watch (62).jpg,wristwatch,clothing_wrist_watch,color:blue;material:unknown;condition:new;size:small,blue,unknown,new,small
train,Team14_BlackWatch_X,new small black metal analog watch sideways,pooled_images/team14_wrist_watch (63).jpg,wristwatch,clothing_wrist_watch,color:black;material:metal;condition:new;size:small,black,metal,new,small
train,Team14_BlueWatch_G,new small blue analog leather watch sideways,pooled_images/team14_wrist_watch (64).jpg,wristwatch,clothing_wrist_watch,color:blue;material:unknown;condition:new;size:small,blue,unknown,new,small
train,Team14_SilverWatch_N,new small silver rubber watch from side,pooled_images/team14_wrist_watch (65).jpg,wristwatch,clothing_wrist_watch,color:silver;material:rubber;condition:new;size:small,silver,rubber,new,small
train,Team14_BlueWatch_H,new small blue rubber watch from side,pooled_images/team14_wrist_watch (66).jpg,wristwatch,clothing_wrist_watch,color:blue;material:rubber;condition:new;size:small,blue,rubber,new,small
train,Team14_BlackWatch_Y,new small black plastic smart watch from back,pooled_images/team14_wrist_watch (67).jpg,wristwatch,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,black,plastic,new,small
train,Team14_BlackWatch_Z,new small black metal analog watch from front,pooled_images/team14_wrist_watch (68).jpg,wristwatch,clothing_wrist_watch,color:black;material:metal;condition:new;size:small,black,metal,new,small
train,Team14_SilverWatch_O,new small silver metal analog watch from front,pooled_images/team14_wrist_watch (69).jpg,wristwatch,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,silver,metal,new,small
val,Team14_BlackWatch_AA,new small black leather watch from top,pooled_images/team14_wrist_watch (70).jpg,wristwatch,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,black,unknown,new,small
train,Team14_SilverWatch_P,new small silver metal watch from back,pooled_images/team14_wrist_watch (71).jpg,wristwatch,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,silver,metal,new,small
train,Team14_SilverWatch_Q,new small silver metal analog watch face,pooled_images/team14_wrist_watch (72).jpg,wristwatch,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,silver,metal,new,small
train,Team14_BlackWatch_AB,new small black leather watch from side,pooled_images/team14_wrist_watch (73).jpg,wristwatch,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,black,unknown,new,small
train,Team14_BlackWatch_AC,new small black leather watch from top,pooled_images/team14_wrist_watch (74).jpg,wristwatch,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,black,unknown,new,small
val,Team14_SilverWatch_R,new small silver metal analog watch sideways,pooled_images/team14_wrist_watch (75).jpg,wristwatch,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,silver,metal,new,small
train,Team14_SilverWatch_S,new small silver metal analog watch sideways,pooled_images/team14_wrist_watch (76).jpg,wristwatch,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,silver,metal,new,small
val,Team14_BlueWatch_I,new small blue leather analog watch,pooled_images/team14_wrist_watch (77).jpg,wristwatch,clothing_wrist_watch,color:blue;material:unknown;condition:new;size:small,blue,unknown,new,small
train,Team14_BlackWatch_AD,new small black leather analog watch,pooled_images/team14_wrist_watch (78).jpg,wristwatch,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,black,unknown,new,small
val,Team14_BlackWatch_AE,new small black metal analog watch,pooled_images/team14_wrist_watch (79).jpg,wristwatch,clothing_wrist_watch,color:black;material:metal;condition:new;size:small,black,metal,new,small
val,Team14_BrownWatch_A,new small brown analog leather watch,pooled_images/team14_wrist_watch (80).jpg,wristwatch,clothing_wrist_watch,color:unknown;material:unknown;condition:new;size:small,unknown,unknown,new,small
train,Team14_SilverWatch_T,new small silver metal analog watch,pooled_images/team14_wrist_watch (81).jpg,wristwatch,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,silver,metal,new,small
val,Team14_UnkWatch_A,new small leather watch from back,pooled_images/team14_wrist_watch (82).jpg,wristwatch,clothing_wrist_watch,color:unknown;material:unknown;condition:new;size:small,unknown,unknown,new,small
val,Team14_BrownWatch_B,new small brown analog leather watch,pooled_images/team14_wrist_watch (83).jpg,wristwatch,clothing_wrist_watch,color:unknown;material:unknown;condition:new;size:small,unknown,unknown,new,small
val,Team14_UnkWatch_B,new small leather watch from side,pooled_images/team14_wrist_watch (84).jpg,wristwatch,clothing_wrist_watch,color:unknown;material:unknown;condition:new;size:small,unknown,unknown,new,small
val,Team14_BlackWatch_AF,new small black leather analog watch,pooled_images/team14_wrist_watch (85).jpg,wristwatch,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,black,unknown,new,small
val,Team14_BrownWatch_C,new small brown leather watch from side,pooled_images/team14_wrist_watch (86).jpg,wristwatch,clothing_wrist_watch,color:unknown;material:unknown;condition:new;size:small,unknown,unknown,new,small
train,Team14_SilverWatch_W,new small silver metal analog watch from side,pooled_images/team14_wrist_watch (87).jpg,wristwatch,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,silver,metal,new,small
train,Team14_BlackWatch_AG,new small black leather analog watch,pooled_images/team14_wrist_watch (88).jpg,wristwatch,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,black,unknown,new,small
val,Team14_SilverWatch_U,new small silver metal analog watch from front,pooled_images/team14_wrist_watch (89).jpg,wristwatch,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,silver,metal,new,small
train,Team14_UnkWatch_C,new small metal watch from side,pooled_images/team14_wrist_watch (90).jpg,wristwatch,clothing_wrist_watch,color:unknown;material:metal;condition:new;size:small,unknown,metal,new,small
val,Team14_BlueWatch_J,new small blue leather analog watch from top,pooled_images/team14_wrist_watch (91).jpg,wristwatch,clothing_wrist_watch,color:blue;material:unknown;condition:new;size:small,blue,unknown,new,small
train,Team14_BlackWatch_AH,new small black leather analog watch from top,pooled_images/team14_wrist_watch (92).jpg,wristwatch,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,black,unknown,new,small
val,Team14_BlackWatch_AI,new small black leather analog watch from top,pooled_images/team14_wrist_watch (93).jpg,wristwatch,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,black,unknown,new,small
train,Team14_BlackWatch_AJ,new small black leather analog watch from front,pooled_images/team14_wrist_watch (94).jpg,wristwatch,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,black,unknown,new,small
train,Team14_BlackWatch_AK,new small black leather analog watch sideways,pooled_images/team14_wrist_watch (95).jpg,wristwatch,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,black,unknown,new,small
val,Team14_BlackWatch_AL,new small black plastic smart watch from top,pooled_images/team14_wrist_watch (96).jpg,wristwatch,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,black,plastic,new,small
val,Team14_BlackWatch_AM,new small black plastic smart watch sideways,pooled_images/team14_wrist_watch (97).jpg,wristwatch,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,black,plastic,new,small
train,Team14_BlackWatch_AN,new small black smart watch from side,pooled_images/team14_wrist_watch (98).jpg,wristwatch,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,black,unknown,new,small
train,Team14_BlackWatch_AO,new small black plastic smart watch from behind,pooled_images/team14_wrist_watch (99).jpg,wristwatch,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,black,plastic,new,small
val,Team14_BlackWatch_AP,new small black smart watch from side,pooled_images/team14_wrist_watch (100).jpg,wristwatch,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,black,unknown,new,small
val,Team14_WhiteEarphones_A,white bluetooth earphones with closed lid,pooled_images/team14_earphones (1).jpg,earphones,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white,plastic,used,small
train,Team14_WhiteEarphones_B,white bluetooth earphones with closed lid,pooled_images/team14_earphones (2).jpg,earphones,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white,plastic,used,small
train,Team14_WhiteEarphones_C,white Bluetooth earphones with closed lid,pooled_images/team14_earphones (3).jpg,earphones,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white,plastic,used,small
train,Team14_WhiteEarphones_AK,white bluetooth earphones kept on solid background,pooled_images/team14_earphones (4).jpg,earphones,electronic_accessories_earphones,color:white;material:plastic;condition:unknown;size:small,white,plastic,unknown,small
train,Team14_WhiteEarphones_D,white Bluetooth earphones with closed lid,pooled_images/team14_earphones (5).jpg,earphones,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white,plastic,used,small
val,Team14_WhiteEarphones_E,white Bluetooth earphones with closed lid,pooled_images/team14_earphones (6).jpg,earphones,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white,plastic,used,small
train,Team14_WhiteEarphones_F,white Bluetooth earphones with closed lid,pooled_images/team14_earphones (7).jpg,earphones,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white,plastic,used,small
train,Team14_WhiteEarphones_G,white Bluetooth earphones with closed lid,pooled_images/team14_earphones (8).jpg,earphones,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white,plastic,used,small
train,Team14_WhiteEarphones_AF,white bluetooth earphones back side view,pooled_images/team14_earphones (9).jpg,earphones,electronic_accessories_earphones,color:white;material:plastic;condition:unknown;size:small,white,plastic,unknown,small
val,Team14_WhiteEarphones_H,white Bluetooth earphones with closed lid,pooled_images/team14_earphones (10).jpg,earphones,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white,plastic,used,small
train,Team14_WhiteEarphones_I,white Bluetooth earphones with closed lid,pooled_images/team14_earphones (11).jpg,earphones,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white,plastic,used,small
train,Team14_WhiteEarphones_J,white Bluetooth earphones with closed lid,pooled_images/team14_earphones (12).jpg,earphones,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white,plastic,used,small
train,Team14_WhiteEarphones_K,white Bluetooth earphones with closed lid,pooled_images/team14_earphones (13).jpg,earphones,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white,plastic,used,small
train,Team14_WhiteEarphones_L,white Bluetooth earphones with closed lid,pooled_images/team14_earphones (14).jpg,earphones,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white,plastic,used,small
train,Team14_WhiteEarphones_M,white Bluetooth earphones with closed lid,pooled_images/team14_earphones (15).jpg,earphones,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white,plastic,used,small
val,Team14_WhiteEarphones_N,white Bluetooth earphones with closed lid,pooled_images/team14_earphones (16).jpg,earphones,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white,plastic,used,small
train,Team14_BlackBrownEarphones_A,black bluetooth earphones with brown lid,pooled_images/team14_earphones (17).jpg,earphones,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,black,plastic,used,small
train,Team14_BrownEarphones_A,Brown bluetooth earphones with vertical orientation,pooled_images/team14_earphones (19).jpg,earphones,electronic_accessories_earphones,color:brown;material:unknown;condition:used;size:small,brown,unknown,used,small
train,Team14_WhiteEarphones_AG,White bluetooth earphones back side view,pooled_images/team14_earphones (20).jpg,earphones,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white,plastic,used,small
train,Team14_BlackMarshallEarphones_A,Black case marshall bluetooth earphones with closed lid,pooled_images/team14_earphones (21).jpg,earphones,electronic_accessories_earphones,color:black;material:unknown;condition:used;size:small,black,unknown,used,small
train,Team14_BlackBrownEarphones_G,black brown earphones with top view visible,pooled_images/team14_earphones (22).jpg,earphones,electronic_accessories_earphones,color:unknown;material:unknown;condition:used;size:small,unknown,unknown,used,small
train,Team14_WhiteEarphones_AH,white bluetooth earphones back side view,pooled_images/team14_earphones (24).jpg,earphones,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white,plastic,used,small
val,Team14_BlackBrownEarphones_H,black earphones bluetooth with brown lid,pooled_images/team14_earphones (25).jpg,earphones,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,black,plastic,used,small
train,Team14_WhiteEarphones_O,white bluetooth earphones with closed white lid,pooled_images/team14_earphones (27).jpg,earphones,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white,plastic,used,small
train,Team14_BlackEarphones_A,Black bluetooth earphones with small size,pooled_images/team14_earphones (28).jpg,earphones,electronic_accessories_earphones,color:black;material:unknown;condition:used;size:small,black,unknown,used,small
val,Team14_WhiteEarphones_P,White Bluetooth earphones with closed lid backside,pooled_images/team14_earphones (29).jpg,earphones,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white,plastic,used,small
train,Team14_WhiteEarphones_Q,white Bluetooth earphones front side closed lid,pooled_images/team14_earphones (30).jpg,earphones,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white,plastic,used,small
train,Team14_BlackMarshallEarphones_B,Marshall Bluetooth earphones with black case,pooled_images/team14_earphones (31).jpg,earphones,electronic_accessories_earphones,color:black;material:unknown;condition:used;size:small,black,unknown,used,small
train,Team14_BlackBrownEarphones_I,black brown earphones with brown lid bluetooth,pooled_images/team14_earphones (32).jpg,earphones,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,black,plastic,used,small
train,Team14_WhiteEarphones_AI,white bluetooth earphones with charging hole visible,pooled_images/team14_earphones (34).jpg,earphones,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white,plastic,used,small
val,Team14_BrownEarphones_C,Brown bluetooth earphones with horizontal orientation,pooled_images/team14_earphones (35).jpg,earphones,electronic_accessories_earphones,color:brown;material:unknown;condition:used;size:small,brown,unknown,used,small
val,Team14_WhiteEarphones_R,White Bluetooth Earphones with open lid front side,pooled_images/team14_earphones (36).jpg,earphones,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white,plastic,used,small
train,Team14_BlackBrownEarphones_J,black bluetooth earphones with brown lid,pooled_images/team14_earphones (37).jpg,earphones,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,black,plastic,used,small
val,Team14_BrownEarphones_B,brown bluetooth earphones with closed lid back side,pooled_images/team14_earphones (39).jpg,earphones,electronic_accessories_earphones,color:brown;material:unknown;condition:used;size:small,brown,unknown,used,small
train,Team14_WhiteEarphones_S,White bluetooth earphones with open lid back side,pooled_images/team14_earphones (40).jpg,earphones,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white,plastic,used,small
train,Team14_BlueEarphones_B,blue earphones bluetooth in center of image front view,pooled_images/team14_earphones (41).jpg,earphones,electronic_accessories_earphones,color:blue;material:plastic;condition:used;size:small,blue,plastic,used,small
train,Team14_BlackMarshallEarphones_C,black marshall earphones back side with case on,pooled_images/team14_earphones (42).jpg,earphones,electronic_accessories_earphones,color:black;material:unknown;condition:used;size:small,black,unknown,used,small
train,Team14_BlackEarphones_B,black bluetooth earphones with open lid,pooled_images/team14_earphones (43).jpg,earphones,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,black,plastic,used,small
train,Team14_BlueEarphones_C,blue colour bluetooth earphones top view,pooled_images/team14_earphones (44).jpg,earphones,electronic_accessories_earphones,color:blue;material:plastic;condition:used;size:small,blue,plastic,used,small
val,Team14_BlueEarphones_A,blue bluetooth earphones back side with closed lid,pooled_images/team14_earphones (45).jpg,earphones,electronic_accessories_earphones,color:blue;material:plastic;condition:used;size:small,blue,plastic,used,small
train,Team14_BlackEarphones_C,black bluetooth earphones front side open lid,pooled_images/team14_earphones (46).jpg,earphones,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,black,plastic,used,small
train,Team14_BlackEarphones_D,Black round earphones with closed lid,pooled_images/team14_earphones (47).jpg,earphones,electronic_accessories_earphones,color:black;material:unknown;condition:used;size:small,black,unknown,used,small
val,Team14_WhiteEarphones_T,white earphones front side with open lid,pooled_images/team14_earphones (48).jpg,earphones,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white,plastic,used,small
train,Team14_BlackEarphones_E,black bluetooth earphones top view with open lid,pooled_images/team14_earphones (49).jpg,earphones,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,black,plastic,used,small
train,Team14_BlackMarshallEarphones_D,marshall black earphones with yellow case on,pooled_images/team14_earphones (50).jpg,earphones,electronic_accessories_earphones,color:unknown;material:unknown;condition:used;size:small,unknown,unknown,used,small
val,Team14_BlackEarphones_F,Black bluetooth earphones with round silver design,pooled_images/team14_earphones (51).jpg,earphones,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,black,plastic,used,small
val,Team14_BlackEarphones_G,Black round earphones with closed lid,pooled_images/team14_earphones (52).jpg,earphones,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,black,plastic,used,small
train,Team14_BlackEarphones_H,black bluetooth earphones with vertical orientation,pooled_images/team14_earphones (53).jpg,earphones,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,black,plastic,used,small
train,Team14_WhiteEarphones_AJ,white earphones with lid open bluetooth,pooled_images/team14_earphones (54).jpg,earphones,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white,plastic,used,small
train,Team14_BlackEarphones_U,black bluetooth earphones with closed lid on solid background,pooled_images/team14_earphones (55).jpg,earphones,electronic_accessories_earphones,color:black;material:plastic;condition:unknown;size:small,black,plastic,unknown,small
