caption,instance_id,mapped_class,split,image_path,class_label,attributes,color,material,condition,size
new small orange rubber smart watch sideways,Team14_OrangeWatch_B,wristwatch,train,pooled_images/team14_wrist_watch (48).jpg,clothing_wrist_watch,color:unknown;condition:new;material:rubber;size:small,unknown,rubber,new,small
new small orange rubber smart watch from side,Team14_OrangeWatch_C,wristwatch,train,pooled_images/team14_wrist_watch (49).jpg,clothing_wrist_watch,color:unknown;condition:new;material:rubber;size:small,unknown,rubber,new,small
new small black plastic watch from back,Team14_BlackWatch_T,wristwatch,train,pooled_images/team14_wrist_watch (50).jpg,clothing_wrist_watch,color:black;condition:new;material:plastic;size:small,black,plastic,new,small
new small yellow metal watch from side,Team14_YellowWatch_J,wristwatch,train,pooled_images/team14_wrist_watch (51).jpg,clothing_wrist_watch,color:yellow;condition:new;material:metal;size:small,yellow,metal,new,small
new small orange rubber smart watch from top,Team14_OrangeWatch_D,wristwatch,val,pooled_images/team14_wrist_watch (52).jpg,clothing_wrist_watch,color:unknown;condition:new;material:rubber;size:small,unknown,rubber,new,small
new small orange rubber smart watch placed diagonally,Team14_OrangeWatch_E,wristwatch,train,pooled_images/team14_wrist_watch (53).jpg,clothing_wrist_watch,color:unknown;condition:new;material:rubber;size:small,unknown,rubber,new,small
new small black plastic smart watch from top,Team14_BlackWatch_U,wristwatch,train,pooled_images/team14_wrist_watch (55).jpg,clothing_wrist_watch,color:black;condition:new;material:plastic;size:small,black,plastic,new,small
new small silver metal analog watch face,Team14_SIlverWatch_M,wristwatch,train,pooled_images/team14_wrist_watch (56).jpg,clothing_wrist_watch,color:silver;condition:new;material:metal;size:small,silver,metal,new,small
new small yellow leather watch from side,Team14_YellowWatch_L,wristwatch,train,pooled_images/team14_wrist_watch (57).jpg,clothing_wrist_watch,color:yellow;condition:new;material:unknown;size:small,yellow,unknown,new,small
new small black plastic smart watch face,Team14_BlackWatch_V,wristwatch,train,pooled_images/team14_wrist_watch (58).jpg,clothing_wrist_watch,color:unknown;condition:new;material:plastic;size:small,unknown,plastic,new,small
new small black metal watch flipped over,Team14_BlackWatch_W,wristwatch,train,pooled_images/team14_wrist_watch (59).jpg,clothing_wrist_watch,color:black;condition:new;material:metal;size:small,black,metal,new,small
new small blue rubber analog watch from front,Team14_BlueWatch_D,wristwatch,train,pooled_images/team14_wrist_watch (60).jpg,clothing_wrist_watch,color:blue;condition:new;material:rubber;size:small,blue,rubber,new,small
new small blue analog rubber watch sideways,Team14_BlueWatch_E,wristwatch,train,pooled_images/team14_wrist_watch (61).jpg,clothing_wrist_watch,color:blue;condition:new;material:rubber;size:small,blue,rubber,new,small
new small blue leather analog watch,Team14_BlueWatch_F,wristwatch,val,pooled_images/team14_wrist_watch (62).jpg,clothing_wrist_watch,color:blue;condition:new;material:unknown;size:small,blue,unknown,new,small
new small black metal analog watch sideways,Team14_BlackWatch_X,wristwatch,train,pooled_images/team14_wrist_watch (63).jpg,clothing_wrist_watch,color:black;condition:new;material:metal;size:small,black,metal,new,small
new small blue analog leather watch sideways,Team14_BlueWatch_G,wristwatch,train,pooled_images/team14_wrist_watch (64).jpg,clothing_wrist_watch,color:blue;condition:new;material:unknown;size:small,blue,unknown,new,small
new small silver rubber watch from side,Team14_SilverWatch_N,wristwatch,train,pooled_images/team14_wrist_watch (65).jpg,clothing_wrist_watch,color:silver;condition:new;material:rubber;size:small,silver,rubber,new,small
new small blue rubber watch from side,Team14_BlueWatch_H,wristwatch,train,pooled_images/team14_wrist_watch (66).jpg,clothing_wrist_watch,color:blue;condition:new;material:rubber;size:small,blue,rubber,new,small
new small black plastic smart watch from back,Team14_BlackWatch_Y,wristwatch,train,pooled_images/team14_wrist_watch (67).jpg,clothing_wrist_watch,color:black;condition:new;material:plastic;size:small,black,plastic,new,small
new small black metal analog watch from front,Team14_BlackWatch_Z,wristwatch,train,pooled_images/team14_wrist_watch (68).jpg,clothing_wrist_watch,color:black;condition:new;material:metal;size:small,black,metal,new,small
new small silver metal analog watch from front,Team14_SilverWatch_O,wristwatch,train,pooled_images/team14_wrist_watch (69).jpg,clothing_wrist_watch,color:silver;condition:new;material:metal;size:small,silver,metal,new,small
new small black leather watch from top,Team14_BlackWatch_AA,wristwatch,val,pooled_images/team14_wrist_watch (70).jpg,clothing_wrist_watch,color:black;condition:new;material:unknown;size:small,black,unknown,new,small
new small silver metal watch from back,Team14_SilverWatch_P,wristwatch,train,pooled_images/team14_wrist_watch (71).jpg,clothing_wrist_watch,color:silver;condition:new;material:metal;size:small,silver,metal,new,small
new small silver metal analog watch face,Team14_SilverWatch_Q,wristwatch,train,pooled_images/team14_wrist_watch (72).jpg,clothing_wrist_watch,color:silver;condition:new;material:metal;size:small,silver,metal,new,small
new small black leather watch from side,Team14_BlackWatch_AB,wristwatch,train,pooled_images/team14_wrist_watch (73).jpg,clothing_wrist_watch,color:black;condition:new;material:unknown;size:small,black,unknown,new,small
new small black leather watch from top,Team14_BlackWatch_AC,wristwatch,train,pooled_images/team14_wrist_watch (74).jpg,clothing_wrist_watch,color:black;condition:new;material:unknown;size:small,black,unknown,new,small
new small silver metal analog watch sideways,Team14_SilverWatch_R,wristwatch,val,pooled_images/team14_wrist_watch (75).jpg,clothing_wrist_watch,color:silver;condition:new;material:metal;size:small,silver,metal,new,small
new small silver metal analog watch sideways,Team14_SilverWatch_S,wristwatch,train,pooled_images/team14_wrist_watch (76).jpg,clothing_wrist_watch,color:silver;condition:new;material:metal;size:small,silver,metal,new,small
new small blue leather analog watch,Team14_BlueWatch_I,wristwatch,val,pooled_images/team14_wrist_watch (77).jpg,clothing_wrist_watch,color:blue;condition:new;material:unknown;size:small,blue,unknown,new,small
new small black leather analog watch,Team14_BlackWatch_AD,wristwatch,train,pooled_images/team14_wrist_watch (78).jpg,clothing_wrist_watch,color:black;condition:new;material:unknown;size:small,black,unknown,new,small
new small black metal analog watch,Team14_BlackWatch_AE,wristwatch,val,pooled_images/team14_wrist_watch (79).jpg,clothing_wrist_watch,color:black;condition:new;material:metal;size:small,black,metal,new,small
new small brown analog leather watch,Team14_BrownWatch_A,wristwatch,val,pooled_images/team14_wrist_watch (80).jpg,clothing_wrist_watch,color:unknown;condition:new;material:unknown;size:small,unknown,unknown,new,small
new small silver metal analog watch,Team14_SilverWatch_T,wristwatch,train,pooled_images/team14_wrist_watch (81).jpg,clothing_wrist_watch,color:silver;condition:new;material:metal;size:small,silver,metal,new,small
new small leather watch from back,Team14_UnkWatch_A,wristwatch,val,pooled_images/team14_wrist_watch (82).jpg,clothing_wrist_watch,color:unknown;condition:new;material:unknown;size:small,unknown,unknown,new,small
new small brown analog leather watch,Team14_BrownWatch_B,wristwatch,val,pooled_images/team14_wrist_watch (83).jpg,clothing_wrist_watch,color:unknown;condition:new;material:unknown;size:small,unknown,unknown,new,small
new small leather watch from side,Team14_UnkWatch_B,wristwatch,val,pooled_images/team14_wrist_watch (84).jpg,clothing_wrist_watch,color:unknown;condition:new;material:unknown;size:small,unknown,unknown,new,small
new small black leather analog watch,Team14_BlackWatch_AF,wristwatch,val,pooled_images/team14_wrist_watch (85).jpg,clothing_wrist_watch,color:black;condition:new;material:unknown;size:small,black,unknown,new,small
new small brown leather watch from side,Team14_BrownWatch_C,wristwatch,val,pooled_images/team14_wrist_watch (86).jpg,clothing_wrist_watch,color:unknown;condition:new;material:unknown;size:small,unknown,unknown,new,small
new small silver metal analog watch from side,Team14_SilverWatch_W,wristwatch,train,pooled_images/team14_wrist_watch (87).jpg,clothing_wrist_watch,color:silver;condition:new;material:metal;size:small,silver,metal,new,small
new small black leather analog watch,Team14_BlackWatch_AG,wristwatch,train,pooled_images/team14_wrist_watch (88).jpg,clothing_wrist_watch,color:black;condition:new;material:unknown;size:small,black,unknown,new,small
new small silver metal analog watch from front,Team14_SilverWatch_U,wristwatch,val,pooled_images/team14_wrist_watch (89).jpg,clothing_wrist_watch,color:silver;condition:new;material:metal;size:small,silver,metal,new,small
new small metal watch from side,Team14_UnkWatch_C,wristwatch,train,pooled_images/team14_wrist_watch (90).jpg,clothing_wrist_watch,color:unknown;condition:new;material:metal;size:small,unknown,metal,new,small
new small blue leather analog watch from top,Team14_BlueWatch_J,wristwatch,val,pooled_images/team14_wrist_watch (91).jpg,clothing_wrist_watch,color:blue;condition:new;material:unknown;size:small,blue,unknown,new,small
new small black leather analog watch from top,Team14_BlackWatch_AH,wristwatch,train,pooled_images/team14_wrist_watch (92).jpg,clothing_wrist_watch,color:black;condition:new;material:unknown;size:small,black,unknown,new,small
new small black leather analog watch from top,Team14_BlackWatch_AI,wristwatch,val,pooled_images/team14_wrist_watch (93).jpg,clothing_wrist_watch,color:black;condition:new;material:unknown;size:small,black,unknown,new,small
new small black leather analog watch from front,Team14_BlackWatch_AJ,wristwatch,train,pooled_images/team14_wrist_watch (94).jpg,clothing_wrist_watch,color:black;condition:new;material:unknown;size:small,black,unknown,new,small
new small black leather analog watch sideways,Team14_BlackWatch_AK,wristwatch,train,pooled_images/team14_wrist_watch (95).jpg,clothing_wrist_watch,color:black;condition:new;material:unknown;size:small,black,unknown,new,small
new small black plastic smart watch from top,Team14_BlackWatch_AL,wristwatch,val,pooled_images/team14_wrist_watch (96).jpg,clothing_wrist_watch,color:black;condition:new;material:plastic;size:small,black,plastic,new,small
new small black plastic smart watch sideways,Team14_BlackWatch_AM,wristwatch,val,pooled_images/team14_wrist_watch (97).jpg,clothing_wrist_watch,color:black;condition:new;material:plastic;size:small,black,plastic,new,small
new small black smart watch from side,Team14_BlackWatch_AN,wristwatch,train,pooled_images/team14_wrist_watch (98).jpg,clothing_wrist_watch,color:black;condition:new;material:unknown;size:small,black,unknown,new,small
new small black plastic smart watch from behind,Team14_BlackWatch_AO,wristwatch,train,pooled_images/team14_wrist_watch (99).jpg,clothing_wrist_watch,color:black;condition:new;material:plastic;size:small,black,plastic,new,small
new small black smart watch from side,Team14_BlackWatch_AP,wristwatch,val,pooled_images/team14_wrist_watch (100).jpg,clothing_wrist_watch,color:black;condition:new;material:unknown;size:small,black,unknown,new,small
white bluetooth earphones with closed lid,Team14_WhiteEarphones_A,earphones,val,pooled_images/team14_earphones (1).jpg,electronic_accessories_earphones,color:white;condition:used;material:plastic;size:small,white,plastic,used,small
white bluetooth earphones with closed lid,Team14_WhiteEarphones_B,earphones,train,pooled_images/team14_earphones (2).jpg,electronic_accessories_earphones,color:white;condition:used;material:plastic;size:small,white,plastic,used,small
white Bluetooth earphones with closed lid,Team14_WhiteEarphones_C,earphones,train,pooled_images/team14_earphones (3).jpg,electronic_accessories_earphones,color:white;condition:used;material:plastic;size:small,white,plastic,used,small
white bluetooth earphones kept on solid background,Team14_WhiteEarphones_AK,earphones,train,pooled_images/team14_earphones (4).jpg,electronic_accessories_earphones,color:white;condition:unknown;material:plastic;size:small,white,plastic,unknown,small
white Bluetooth earphones with closed lid,Team14_WhiteEarphones_D,earphones,train,pooled_images/team14_earphones (5).jpg,electronic_accessories_earphones,color:white;condition:used;material:plastic;size:small,white,plastic,used,small
white Bluetooth earphones with closed lid,Team14_WhiteEarphones_E,earphones,val,pooled_images/team14_earphones (6).jpg,electronic_accessories_earphones,color:white;condition:used;material:plastic;size:small,white,plastic,used,small
white Bluetooth earphones with closed lid,Team14_WhiteEarphones_F,earphones,train,pooled_images/team14_earphones (7).jpg,electronic_accessories_earphones,color:white;condition:used;material:plastic;size:small,white,plastic,used,small
white Bluetooth earphones with closed lid,Team14_WhiteEarphones_G,earphones,train,pooled_images/team14_earphones (8).jpg,electronic_accessories_earphones,color:white;condition:used;material:plastic;size:small,white,plastic,used,small
white bluetooth earphones back side view,Team14_WhiteEarphones_AF,earphones,train,pooled_images/team14_earphones (9).jpg,electronic_accessories_earphones,color:white;condition:unknown;material:plastic;size:small,white,plastic,unknown,small
white Bluetooth earphones with closed lid,Team14_WhiteEarphones_H,earphones,val,pooled_images/team14_earphones (10).jpg,electronic_accessories_earphones,color:white;condition:used;material:plastic;size:small,white,plastic,used,small
white Bluetooth earphones with closed lid,Team14_WhiteEarphones_I,earphones,train,pooled_images/team14_earphones (11).jpg,electronic_accessories_earphones,color:white;condition:used;material:plastic;size:small,white,plastic,used,small
white Bluetooth earphones with closed lid,Team14_WhiteEarphones_J,earphones,train,pooled_images/team14_earphones (12).jpg,electronic_accessories_earphones,color:white;condition:used;material:plastic;size:small,white,plastic,used,small
white Bluetooth earphones with closed lid,Team14_WhiteEarphones_K,earphones,train,pooled_images/team14_earphones (13).jpg,electronic_accessories_earphones,color:white;condition:used;material:plastic;size:small,white,plastic,used,small
white Bluetooth earphones with closed lid,Team14_WhiteEarphones_L,earphones,train,pooled_images/team14_earphones (14).jpg,electronic_accessories_earphones,color:white;condition:used;material:plastic;size:small,white,plastic,used,small
white Bluetooth earphones with closed lid,Team14_WhiteEarphones_M,earphones,train,pooled_images/team14_earphones (15).jpg,electronic_accessories_earphones,color:white;condition:used;material:plastic;size:small,white,plastic,used,small
white Bluetooth earphones with closed lid,Team14_WhiteEarphones_N,earphones,val,pooled_images/team14_earphones (16).jpg,electronic_accessories_earphones,color:white;condition:used;material:plastic;size:small,white,plastic,used,small
black bluetooth earphones with brown lid,Team14_BlackBrownEarphones_A,earphones,train,pooled_images/team14_earphones (17).jpg,electronic_accessories_earphones,color:black;condition:used;material:plastic;size:small,black,plastic,used,small
Brown bluetooth earphones with vertical orientation,Team14_BrownEarphones_A,earphones,train,pooled_images/team14_earphones (19).jpg,electronic_accessories_earphones,color:brown;condition:used;material:unknown;size:small,brown,unknown,used,small
White bluetooth earphones back side view,Team14_WhiteEarphones_AG,earphones,train,pooled_images/team14_earphones (20).jpg,electronic_accessories_earphones,color:white;condition:used;material:plastic;size:small,white,plastic,used,small
Black case marshall bluetooth earphones with closed lid,Team14_BlackMarshallEarphones_A,earphones,train,pooled_images/team14_earphones (21).jpg,electronic_accessories_earphones,color:black;condition:used;material:unknown;size:small,black,unknown,used,small
black brown earphones with top view visible,Team14_BlackBrownEarphones_G,earphones,train,pooled_images/team14_earphones (22).jpg,electronic_accessories_earphones,color:unknown;condition:used;material:unknown;size:small,unknown,unknown,used,small
white bluetooth earphones back side view,Team14_WhiteEarphones_AH,earphones,train,pooled_images/team14_earphones (24).jpg,electronic_accessories_earphones,color:white;condition:used;material:plastic;size:small,white,plastic,used,small
black earphones bluetooth with brown lid,Team14_BlackBrownEarphones_H,earphones,val,pooled_images/team14_earphones (25).jpg,electronic_accessories_earphones,color:black;condition:used;material:plastic;size:small,black,plastic,used,small
white bluetooth earphones with closed white lid,Team14_WhiteEarphones_O,earphones,train,pooled_images/team14_earphones (27).jpg,electronic_accessories_earphones,color:white;condition:used;material:plastic;size:small,white,plastic,used,small
Black bluetooth earphones with small size,Team14_BlackEarphones_A,earphones,train,pooled_images/team14_earphones (28).jpg,electronic_accessories_earphones,color:black;condition:used;material:unknown;size:small,black,unknown,used,small
White Bluetooth earphones with closed lid backside,Team14_WhiteEarphones_P,earphones,val,pooled_images/team14_earphones (29).jpg,electronic_accessories_earphones,color:white;condition:used;material:plastic;size:small,white,plastic,used,small
white Bluetooth earphones front side closed lid,Team14_WhiteEarphones_Q,earphones,train,pooled_images/team14_earphones (30).jpg,electronic_accessories_earphones,color:white;condition:used;material:plastic;size:small,white,plastic,used,small
Marshall Bluetooth earphones with black case,Team14_BlackMarshallEarphones_B,earphones,train,pooled_images/team14_earphones (31).jpg,electronic_accessories_earphones,color:black;condition:used;material:unknown;size:small,black,unknown,used,small
black brown earphones with brown lid bluetooth,Team14_BlackBrownEarphones_I,earphones,train,pooled_images/team14_earphones (32).jpg,electronic_accessories_earphones,color:black;condition:used;material:plastic;size:small,black,plastic,used,small
white bluetooth earphones with charging hole visible,Team14_WhiteEarphones_AI,earphones,train,pooled_images/team14_earphones (34).jpg,electronic_accessories_earphones,color:white;condition:used;material:plastic;size:small,white,plastic,used,small
Brown bluetooth earphones with horizontal orientation,Team14_BrownEarphones_C,earphones,val,pooled_images/team14_earphones (35).jpg,electronic_accessories_earphones,color:brown;condition:used;material:unknown;size:small,brown,unknown,used,small
White Bluetooth Earphones with open lid front side,Team14_WhiteEarphones_R,earphones,val,pooled_images/team14_earphones (36).jpg,electronic_accessories_earphones,color:white;condition:used;material:plastic;size:small,white,plastic,used,small
black bluetooth earphones with brown lid,Team14_BlackBrownEarphones_J,earphones,train,pooled_images/team14_earphones (37).jpg,electronic_accessories_earphones,color:black;condition:used;material:plastic;size:small,black,plastic,used,small
brown bluetooth earphones with closed lid back side,Team14_BrownEarphones_B,earphones,val,pooled_images/team14_earphones (39).jpg,electronic_accessories_earphones,color:brown;condition:used;material:unknown;size:small,brown,unknown,used,small
White bluetooth earphones with open lid back side,Team14_WhiteEarphones_S,earphones,train,pooled_images/team14_earphones (40).jpg,electronic_accessories_earphones,color:white;condition:used;material:plastic;size:small,white,plastic,used,small
blue earphones bluetooth in center of image front view,Team14_BlueEarphones_B,earphones,train,pooled_images/team14_earphones (41).jpg,electronic_accessories_earphones,color:blue;condition:used;material:plastic;size:small,blue,plastic,used,small
black marshall earphones back side with case on,Team14_BlackMarshallEarphones_C,earphones,train,pooled_images/team14_earphones (42).jpg,electronic_accessories_earphones,color:black;condition:used;material:unknown;size:small,black,unknown,used,small
black bluetooth earphones with open lid,Team14_BlackEarphones_B,earphones,train,pooled_images/team14_earphones (43).jpg,electronic_accessories_earphones,color:black;condition:used;material:plastic;size:small,black,plastic,used,small
blue colour bluetooth earphones top view,Team14_BlueEarphones_C,earphones,train,pooled_images/team14_earphones (44).jpg,electronic_accessories_earphones,color:blue;condition:used;material:plastic;size:small,blue,plastic,used,small
blue bluetooth earphones back side with closed lid,Team14_BlueEarphones_A,earphones,val,pooled_images/team14_earphones (45).jpg,electronic_accessories_earphones,color:blue;condition:used;material:plastic;size:small,blue,plastic,used,small
black bluetooth earphones front side open lid,Team14_BlackEarphones_C,earphones,train,pooled_images/team14_earphones (46).jpg,electronic_accessories_earphones,color:black;condition:used;material:plastic;size:small,black,plastic,used,small
Black round earphones with closed lid,Team14_BlackEarphones_D,earphones,train,pooled_images/team14_earphones (47).jpg,electronic_accessories_earphones,color:black;condition:used;material:unknown;size:small,black,unknown,used,small
white earphones front side with open lid,Team14_WhiteEarphones_T,earphones,val,pooled_images/team14_earphones (48).jpg,electronic_accessories_earphones,color:white;condition:used;material:plastic;size:small,white,plastic,used,small
black bluetooth earphones top view with open lid,Team14_BlackEarphones_E,earphones,train,pooled_images/team14_earphones (49).jpg,electronic_accessories_earphones,color:black;condition:used;material:plastic;size:small,black,plastic,used,small
marshall black earphones with yellow case on,Team14_BlackMarshallEarphones_D,earphones,train,pooled_images/team14_earphones (50).jpg,electronic_accessories_earphones,color:unknown;condition:used;material:unknown;size:small,unknown,unknown,used,small
Black bluetooth earphones with round silver design,Team14_BlackEarphones_F,earphones,val,pooled_images/team14_earphones (51).jpg,electronic_accessories_earphones,color:black;condition:used;material:plastic;size:small,black,plastic,used,small
Black round earphones with closed lid,Team14_BlackEarphones_G,earphones,val,pooled_images/team14_earphones (52).jpg,electronic_accessories_earphones,color:black;condition:used;material:plastic;size:small,black,plastic,used,small
black bluetooth earphones with vertical orientation,Team14_BlackEarphones_H,earphones,train,pooled_images/team14_earphones (53).jpg,electronic_accessories_earphones,color:black;condition:used;material:plastic;size:small,black,plastic,used,small
white earphones with lid open bluetooth,Team14_WhiteEarphones_AJ,earphones,train,pooled_images/team14_earphones (54).jpg,electronic_accessories_earphones,color:white;condition:used;material:plastic;size:small,white,plastic,used,small
black bluetooth earphones with closed lid on solid background,Team14_BlackEarphones_U,earphones,train,pooled_images/team14_earphones (55).jpg,electronic_accessories_earphones,color:black;condition:unknown;material:plastic;size:small,black,plastic,unknown,small
